Site,Date deployed,Time deployed ,24 hour trial?,Date pulled,Time pulled,Treatment,Square number,Scallop Number,Status when pulled,Post processing mark,Post processing predation analysis ,Notes
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,2,8,half shell,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,2,9,did not recover,none,unsure,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,2,10,did not recover,none,unsure,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Cage,3,1,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Cage,3,2,clucker,small pry,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Cage,3,3,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Cage,3,4,half shell,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,3,5,unhinged,small pry,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,3,6,unhinged,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,3,7,unhinged,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,3,8,half shell,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,3,9,unhinged,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Cage,3,10,unhinged,chip,crab,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,1,1,alive,none,NA,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,1,2,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,1,3,unhinged,ear chip,crab,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,1,4,clucker,ear chip,crab,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,1,5,half shell,broken,crab,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,1,6,half shell,broken,crab,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,1,7,unhinged,pry,small crab,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,1,8,unhinged,pry,unknown,pry is small
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,1,9,unhinged,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,1,10,half shell,small pry marks,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,1,clucker,ear chip,crab,boring polychaete damage
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,2,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,3,clucker,notch,whelk,notch is small
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,4,clucker,none,unknown,boring polychaete damage
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,5,unhinged,ear chip,crab,*also small potential whelk notch
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,6,unhinged,pry,small crab,shell weak
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,2,7,half shell,broken,crab,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,2,8,unhinged,chip,crab,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,2,9,unhinged,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,2,10,unhinged,notch,whelk,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,2,11,half shell,hole,spider crab,*could have been from another trial
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,3,1,unhinged,ear chip,crab,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,3,2,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,3,3,clucker,ear damage,unknown,damage on ear likely from line
NW Harbor,8/2/2022,10:45 AM,yes,8/3/2022,11:00 AM,Control,3,4,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,3,5,half shell,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,3,6,half shell,broken,crab,hinge still attached
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,3,7,unhinged,ear damage,unknown,unsure if line caused ear damage
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,3,8,clucker,none,unknown,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,3,9,clucker,notch,whelk,
NW Harbor,8/2/2022,10:45 AM,no,8/15/2022,11:00 AM,Control,3,10,clucker,pry,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,1,clucker,none,unknown,damage on ear likely from line
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,2,clucker,none,unknown,mud crab inside
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,3,clucker,pry,small crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,4,clucker,none,unknown,damage on ear I did
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,5,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,6,clucker,boring polychaete damage on top of shell,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,7,clucker,hole,spider crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,1,8,half shell,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,1,9,clucker,notch,whelk,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,1,10,half shell,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,2,1,clucker,small ear chip,unknown,boring polychaete
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,2,2,clucker,pry,small crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,2,3,clucker,pry,small crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,2,4,clucker,notch,whelk,notch is small
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,2,5,half shell,damage at hinge,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,2,6,unhinged,pry,small crab,pry is small
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,2,7,clucker,notch,whelk,notch on side near where pry marks usually are
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,2,8,unhinged,none,unknown,unknown
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,2,9,unhinged,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,2,10,half shell,chip,crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,1,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,2,clucker,ear chip,crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,3,clucker,ear chip,crab,ear chip likely from line
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,4,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,5,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,6,clucker,ear chip,crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,7,unhinged,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,8,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Cage,3,9,half shell,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Cage,3,10,clucker,ear damage,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,1,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,2,unhinged,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,3,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,4,clucker,pry,small crab,pry mark is small
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,5,clucker,pry,small crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,6,unhinged,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,7,unhinged,notch,whelk,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,8,unhinged,pry,small crab,also ear damage
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,1,9,half shell,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,1,10,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,1,alive,none,NA,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,2,clucker,notch,whelk,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,3,clucker,pry,small crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,4,unhinged,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,5,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,6,clucker,notch,whelk,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,2,7,half shell,none ,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,2,8,unhinged,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,2,9,half shell,none,unknown,polychaete damage
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,2,10,half shell,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,1,clucker,notch,whelk,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,2,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,3,clucker,notch,whelk,notch very small
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,4,clucker,hole,spider crab,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,5,clucker,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,6,half shell,broken,crab,ear still on
Mattituck,8/2/2022,1:30:00 PM,yes,8/3/2022,1:00 PM,Control,3,7,unhinged,broken,crab,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,3,8,half shell,none,unknown,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,3,9,broken,chip,crab,
Mattituck,8/2/2022,1:30:00 PM,no,8/15/2022,1:15 PM,Control,3,10,did not recover,none,unsure,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,1,1,alive,none,NA,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,1,2,clucker,pry,small crab,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,1,3,clucker,notch,whelk,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,1,4,unhinged,none,unknown,chip probably from line
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,1,5,unhinged,pry,small crab,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,1,6,unhinged,ear chip,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,1,7,half shell,none,unknown,no paint mark
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,1,8,never recovered,none,unsure,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,1,9,never recovered,none,unsure,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,1,10,never recovered,none,unsure,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,1,alive,none,NA,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,2,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,3,clucker,pry,small crab,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,4,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,5,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,6,unhinged,chip,crab,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,2,7,half shell,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,2,8,unhinged,notch,whelk,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,2,9,unhinged,small pry,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,2,10,unhinged,ear chip,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,2,11,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,3,1,clucker,none,unknown,small pry and notch?
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,3,2,clucker,chip,crab,chip in weird spot
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,3,3,clucker,none,unknown,boring polychaete
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Cage,3,4,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,3,5,clucker,notch,whelk,mud crab inside
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,3,6,unhinged,pry,small crab,boring polychaete damage
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,3,7,unhinged,pry?,unknown,pry or notch at top of shelll?
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,3,8,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,3,9,unhinged,small ear chip,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Cage,3,10,did not recover,none,unsure,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,1,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,2,clucker,small pry,small crab,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,3,clucker,notch,whelk,small notch
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,4,clucker,ear chip,crab,boring polychaete damage
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,5,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,6,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,1,7,unhinged,none,unknown,damage on ear but not sure of source
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Control,1,8,unhinged,OD hole,unknown,OD found in bag
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Control,1,9,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Control,1,10,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,1,clucker,pry,small crab,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,2,clucker,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,3,clucker,notch,whelk,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,4,clucker,pry,small crab,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,5,half shell,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,6,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,yes,8/3/2022,2:00 PM,Control,2,7,unhinged,none,unknown,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Control,2,8,unhinged,pry,small crab,small pry mark
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Control,2,9,half shell,notch,whelk,
Cow Yard,8/2/2022,3:00:00 PM,no,8/15/2022,2:30 PM,Control,2,10,never recovered,none,unsure,
